year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,1,AA,American Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",182,41,14.7,6.67,8.81,0,10.82,0,1,1928,825,275,293,0,535
2004,1,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",151,34,9.59,3.43,14.35,0.41,6.23,1,1,1961,819,171,465,9,497
2004,1,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",152,48,19.4,7.8,7.21,0,13.59,1,0,2537,901,430,324,0,882
2004,1,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",119,23,10.46,1.89,1.83,0,8.82,0,0,759,349,55,51,0,304
2004,1,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",155,35,14.96,2.52,5.77,0,11.74,0,0,1520,631,125,203,0,561
2004,1,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",8691,3346,264.81,112.07,2336.58,1.01,631.53,793,10,235984,21812,8264,150749,31,55128
2004,1,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",89,24,10.12,4.06,4.76,0,5.07,0,0,1088,448,179,175,0,286
2004,1,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",311,91,16.77,22.49,32.84,0,18.91,6,1,4517,694,1239,1231,0,1353
2004,1,AA,American Airlines Inc.,PDX,"Portland, OR: Portland International",216,59,18.09,10.65,14.24,0,16.03,25,0,2889,1017,504,536,0,832
2004,1,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",655,136,41.8,24.06,27.55,0,42.59,59,2,7769,2104,1630,1543,0,2492
2004,1,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",500,139,52.22,23.66,22.12,0,41,9,0,7599,2508,1278,1169,0,2644
2004,1,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",155,32,13.19,3.76,6.06,0,8.99,1,0,1087,465,103,177,0,342
2004,1,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",169,46,10.4,12.83,8.22,0,14.55,3,1,2332,387,708,357,0,880
2004,1,AA,American Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",151,59,13.19,12.78,9.99,0.14,22.9,8,0,3875,721,776,446,3,1929
2004,1,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",483,127,45.61,13.69,31.82,0,35.87,36,1,6698,2118,917,1258,0,2405
2004,1,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International",89,17,9.74,2.1,2.92,0,2.23,2,0,812,492,89,124,0,107
2004,1,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",186,74,16.91,14.69,19.9,0,22.5,2,0,4083,1137,758,703,0,1485
2004,1,AA,American Airlines Inc.,RST,"Rochester, MN: Rochester International",58,20,4.48,2.41,1.72,0,11.39,4,0,1293,294,140,90,0,769
2004,1,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",156,30,5.23,4.79,9.79,0,10.18,1,0,1546,302,333,381,0,530
2004,1,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",585,188,61.26,31.34,46.76,1.23,47.41,17,1,11265,3241,1906,2166,60,3892
2004,1,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",544,168,41.56,30.74,31.05,0,64.65,10,0,8490,2057,1448,1228,0,3757
2004,1,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville International-Standiford Field",62,12,3.14,1.55,1.04,0,6.28,0,0,465,92,72,28,0,273
2004,1,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",538,156,34.97,30.13,61.92,2.19,26.78,15,2,9021,2050,2089,2604,96,2182
2004,1,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",997,309,60.98,35.04,160.89,2.8,49.27,35,1,15284,3777,1908,6307,116,3176
2004,1,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",745,164,41.33,28.85,44.06,2.86,46.91,21,2,9253,3076,1489,1571,130,2987
2004,1,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",1428,355,139.49,52.41,99.69,5.16,58.25,18,3,22016,10126,2709,4358,137,4686
2004,1,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",248,92,25.18,13.33,25.72,0,27.76,4,0,5107,1457,628,1080,0,1942
